Authors,Title,Citation,DOIorPMID,Publisher,Year,Country (primary),Institution,All entries I found myself,Problem Type,Cluster,Cat1,Cat2,Cat3,FINDINGS,Reported to journal and or institute,Reported on Pubpeer,"Reported to Pubpeer, journal and or institute",PubPeer  post date,PubPeer Identity,PubPeer url,Email to Editor,RT,Expression of concern,CR,Correction or Retraction Date,Survival,mBio Set 782
"Ping Liu, Yuan-yuan Wang, Xin Qi, QianQun Gu, Meiyu Geng, Jing Li",Undecylprodigiosin Induced Apoptosis in P388 Cancer Cells Is Associated with Its Binding to Ribosome,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e65381",10.1371/journal.pone.0065381,PLOS,2013,China,"Ocean University of China, Qingdao",1,ImageDupl,No others found,,1,,duplicated / rotated blot panels,1,1,1,4/4/2020,Elisabeth Bik,https://pubpeer.com/publications/85F7D8C543C823991CD372ADCAE301,10/7/2015,,,1,7/14/2020,1742,1
"Chih-Lang Lin, Rong-Nan Chien, Shi-Ming Lin, Po-Yuan Ke, Chen-Chun Lin, Chau-Ting Yeh",An Occult Hepatitis B-Derived Hepatoma Cell Line Carrying Persistent Nuclear Viral DNA and Permissive for Exogenous Hepatitis B Virus Infection,"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e65456",10.1371/journal.pone.0065456,PLOS,2013,Taiwan,Chang Gung University,1,ImageDupl,No others found,,,1,"repeated lanes within same blot panel, multiple times",1,1,1,4/4/2020,Elisabeth Bik,https://pubpeer.com/publications/616F6512269A67B4D3CCC0E9E8C199,7/6/2014,1,,,1/28/2021,2398,1
"Kerstin P. Kainz, Liselotte Krenn, Zeynep Erdem, Hanspeter Kaehlig, Martin Zehl, Wilfried Bursch, Walter Berger, Brigitte Marian",2-Deprenyl-Rheediaxanthone B Isolated from Metaxya rostrata Induces Active Cell Death in Colorectal Tumor Cells,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e65745",10.1371/journal.pone.0065745,PLOS,2013,Austria,Med Univ Vienna,1,ImageDupl,No others found,,1,,mirrored blot,1,1,1,4/4/2020,Elisabeth Bik,https://pubpeer.com/publications/DDEB06230D57932B3ADC68294F748A,10/7/2015,,,0,9/13/2013,-754,1
"Xiwen Zhang, Wenxia Tian, Xiaozhong Cai, Xiaofei Wang, Weiqi Dang, Hao Tang, Hong Cao, Lin Wang, Tingmei Chen",Hydrazinocurcumin Encapsuled Nanoparticles “Re- Educate” Tumor-Associated Macrophages and Exhibit Anti-Tumor Effects on Breast Cancer Following STAT3 Suppression,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e65896",10.1371/journal.pone.0065896,PLOS,2013,China,Chongqing Medical University,1,ImageDupl,No others found,1,,,duplicated blots,1,1,1,4/4/2020,"Elisabeth Bik, secondary",https://pubpeer.com/publications/91993F9DD28D1B201A4C1A0D62FE7B,7/13/2014,,1,,7/29/2019,1842,1
"Wei Jia, Rui Liu, Jianguo Shi, Bin Wu, Wei Dang, Ying Du, Qiong Zhou, Jianhua Wang, Rui Zhang",Differential Regulation of MAPK Phosphorylation in the Dorsal Hippocampus in Response to Prolonged Morphine Withdrawal-Induced Depressive-Like Symptoms in Mice,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e66111",10.1371/journal.pone.0066111,PLOS,2013,China,"Xi’an Mental Health Center, Xi’an /  Tangdu Hospital Fourth Military Medical University",1,ImageDupl,No others found,1,,,two sets of duplicated blots,1,1,1,4/4/2020,Elisabeth Bik,https://pubpeer.com/publications/A9E4CBED964E0A05989EBD8A0CB327,10/7/2015,,,0,,-42284,1
"Qi Wang, Xiao-Lan Cheng, Dong-Yan Zhang, Xue-Jiao Gao, Ling Zhou, Xiao-Ying Qin, Guo-Yong Xie, Kang Liu, Yong Qin, Bao-Lin Liu, Min-Jian Qin",Tectorigenin Attenuates Palmitate-Induced Endothelial Insulin Resistance via Targeting ROS-Associated Inflammation and IRS-1 Pathway,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e66417",10.1371/journal.pone.0066417,PLOS,2013,China,"State Key Laboratory of Natural Medicines, China Pharmaceutical University, Nanjing",1,ImageDupl,No others found,1,,,"duplicated agarose gel panel, duplicated microscopy panel",1,1,1,4/4/2020,Elisabeth Bik,https://pubpeer.com/publications/1B062459036DDBA029E83E04987B06,10/7/2015,,,,,-42284,1
"Qunyan Jin, Guangming Liu, Phillip P. Domeier, Wei Ding, Kathleen M. Mulder",Decreased Tumor Progression and Invasion by a Novel Anti-Cell Motility Target for Human Colorectal Carcinoma Cells,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e66439",10.1371/journal.pone.0066439,PLOS,2013,USA,"Department of Biochemistry and Molecular Biology, Penn State Hershey College of Medicine, Hershey, Pennsylvania",1,ImageDupl,No others found,,1,,overlapping microscopy panels,1,1,1,7/11/2014,Peer 1,https://pubpeer.com/publications/474F5DF6EBFB9A219BD55810CCB27F,7/11/2014,,,,,-41831,1
"Yanhong Zhang, Wensheng Yan, Yong Sam Jung, Xinbin Chen",PUMA Cooperates with p21 to Regulate Mammary Epithelial Morphogenesis and Epithelial-To- Mesenchymal Transition,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e66464",10.1371/journal.pone.0066464,PLOS,2013,USA,University of California Davis,1,ImageDupl,No others found,1,,,duplicated blot panel,1,1,1,4/4/2020,Elisabeth Bik,https://pubpeer.com/publications/BB489F3EA4D61A9E54126E11491051,10/7/2015,,,1,8/7/2020,1766,1
"Ying Ju Chen, Meei Ling Sheu, Keh Sung Tsai, Rong Sen Yang, Shing Hwa Liu",Advanced Glycation End Products Induce Peroxisome Proliferator-Activated Receptor c Down-Regulation- Related Inflammatory Signals in Human Chondrocytes via Toll-Like Receptor-4 and Receptor for Advanced Glycation End Products,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e66611",10.1371/journal.pone.0066611,PLOS,2013,Taiwan,"Toxicology, College of Medicine, National Taiwan University, Taipei",1,ImageDupl,No others found,1,,,multiple actin control blot panels reused for 2 different experiments,1,1,1,8/3/2020,Elisabeth Bik,https://pubpeer.com/publications/17A7620A56E673D6488EECD76DE52E,10/7/2015,1,,,5/1/2024,3129,1
"Salomé C. Vilchez Larrea, Mariana Schlesinger, María L. Kevorkian, Mirtha M. Flawiá, Guillermo D. Alonso, Silvia H. Fernández Villamil",Host Cell Poly(ADP-Ribose) Glycohydrolase Is Crucial for Trypanosoma cruzi Infection Cycle,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e67356",10.1371/journal.pone.0067356,PLOS,2013,Argentina,"“Dr. Héctor N. Torres”, Consejo Nacional de Investigaciones Científicas y Técnicas, Ciudad Autónoma de Buenos Aires",1,ImageDupl,No others found,,1,,"duplicated colony/dot blots, different setting",1,1,1,8/3/2020,Elisabeth Bik,https://pubpeer.com/publications/90C724BC543E8DEEFF71D110551583,10/7/2015,,,,,-42284,1
"Karen G. Shadrach, Mary E. Rayborn, Joe G. Hollyfield, Vera L. Bonilha",DJ-1-Dependent Regulation of Oxidative Stress in the Retinal Pigment Epithelium (RPE),"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e67983",10.1371/journal.pone.0067983,PLOS,2013,USA,Clevelan Clinic Lerner College,1,ImageDupl,No others found,1,,,duplicated blot panel,1,1,1,8/3/2020,Elisabeth Bik,https://pubpeer.com/publications/163C8A18E1E71D1A0B477917652AAF,10/7/2015,,,1,10/2/2017,726,1
"Chun-Fang Wang, Guo Zhang, Li-Jun Zhao☯, Wen-Juan Qi, Xiao-Ping Li, Jian-Liu Wang, Li-Hui Wei ",Overexpression of the Insulin Receptor Isoform A Promotes Endometrial Carcinoma Cell Growth,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e69001, doi:10.1371/journal.pone.0069001",10.1371/journal.pone.0069001,PLOS,2013,China,Peking University People’s Hospital,1,ImageDupl,No others found,,,1,"duplicated bands within same panel, multiple occasions, duplicated figures (probably error)",1,1,1,8/3/2020,Elisabeth Bik,https://pubpeer.com/publications/3E511E803464D76F34C28D277F8AB5,10/7/2015,1,,,11/23/2021,2239,1
"François Ferriere, Denis Habauzit, Farzad Pakdel, Christian Saligaut, Gilles Flouriot",Unliganded Estrogen Receptor Alpha Promotes PC12 Survival during Serum Starvation,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e69081",10.1371/journal.pone.0069081,PLOS,2013,France,"Institut National de la Santé et de la Recherche Médicale (INSERM), Rennes",1,ImageDupl,No others found,1,,,duplicated blot images,1,1,1,7/1/2014,Peer 1,https://pubpeer.com/publications/13E383C819A248EE159036265BB29D,7/1/2014,,1,,1/11/2024,3481,1
"Suidong Ouyang, Hung Hsuchou, Abba J. Kastin, Weihong Pan ",TNF Stimulates Nuclear Export and Secretion of IL-15 by Acting on CRM1 and ARF6,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e69356",10.1371/journal.pone.0069356,PLOS,2013,USA,"Pennington Biomedical Research Center, Baton Rouge, Louisana",1,ImageDupl,No others found,,1,,"duplicated blots, one rotated, and stretched",1,1,1,8/3/2020,Elisabeth Bik,https://pubpeer.com/publications/9AA774848C7A33AD2885C8BF3498FB,10/7/2015,,,,,-42284,1
"Zhitao Ma, Yalan Wang, Haiyan Zhao, Ao-Tian Xu, Yongqiang Wang, Jun Tang, Wen-hai Feng",Porcine Reproductive and Respiratory Syndrome Virus Nonstructural Protein 4 Induces Apoptosis Dependent on Its 3C-Like Serine Protease Activity,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69387, doi:10.1371/journal.pone.0069387",10.1371/journal.pone.0069387,PLOS,2013,China,"State Key Laboratory of Agrobiotechnology, China Agricultural University, Beijing",1,ImageDupl,No others found,,1,,two sets of duplicated facs panels but different percentages gated points,1,1,1,7/26/2014,Peer 1,https://pubpeer.com/publications/5626AD60BA7C111ADE2A75F5B42EC4,7/25/2014,,,1,2/28/2020,2044,1
"Jieyu Zhang, Juan Tang, Biyin Cao, Zubin Zhang, Jie Li, Aaron D. Schimmer, Sudan He, Xinliang Mao",The Natural Pesticide Dihydrorotenone Induces Human Plasma Cell Apoptosis by Triggering Endoplasmic Reticulum Stress and Activating p38 Signaling Pathway,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69911, doi:10.1371/journal.pone.0069911",10.1371/journal.pone.0069911,PLOS,2013,China,"Soochow University, Suzhou",1,ImageDupl,No others found,,1,,"identical FACS plots, but different gating %",1,1,1,6/2/2020,Elisabeth Bik,https://pubpeer.com/publications/B94709E28DC73E57128766AD5769A0,8/1/2014,,,1,6/2/2020,2132,1
"Nithya Subramanian, Saranya Navaneethakrishnan, Jyotirmay Biswas, Rupinder K. Kanwar, Jagat R. Kanwar, Subramanian Krishnakumar",RNAi Mediated Tiam1 Gene Knockdown Inhibits Invasion of Retinoblastoma,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e70422",10.1371/journal.pone.0070422,PLOS,2013,India,"Sankara, Chennai",1,ImageDupl,No others found,,1,,"multiple overlapping microscopy images, sometimes flipped, possible image manipulation",1,1,1,8/3/2020,"Elisabeth Bik, secondary",https://pubpeer.com/publications/754CBB56DE7BACF5332886CB7AA559,10/7/2015,,1,,5/26/2021,2058,1
"Silvia Vilches, Cristina Vergara, Oriol Nicola ́s, Gloria Sanclimens, Sandra Merino, Sonia Varo ́n, Gerardo A. Acosta, Fernando Albericio, Miriam Royo, Jose ́ A. Del Rı ́o, Rosalina Gavı ́n",Neurotoxicity of Prion Peptides Mimicking the Central Domain of the Cellular Prion Protein,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e70881",10.1371/journal.pone.0070881,PLOS,2013,Spain,"Institute for Bioengineering of Catalonia (IBEC), Barcelona",1,ImageDupl,No others found,,1,,overlapping microscopy images,1,1,1,8/3/2020,Elisabeth Bik,https://pubpeer.com/publications/34ECA7F093F4319BE6DD750D8C3359,10/7/2015,,,,,-42284,1
"Jianlin Lou, Yu Wang, Chunji Yao, Lingzhi Jin, Xiuzhi Wang, Yun Xiao, Nanxiang Wu, Peng Song, Yang Song, Yufeng Tan, Ming Gao, Kecheng Liu, Xing Zhang",Role of DNA Methylation in Cell Cycle Arrest Induced by Cr (VI) in Two Cell Lines,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71031, doi:10.1371/journal.pone.0071031",10.1371/journal.pone.0071031,PLOS,2013,China,"Institute of Hygiene, Zhejiang Academy of Medical Sciences, Hangzhou, Zhejiang",1,ImageDupl,No others found,,,1,"patches/uniform background, might just be beautified, but hard to tell",1,1,1,8/4/2020,Elisabeth Bik,https://pubpeer.com/publications/68B00CEE7704854CE04A2714E81737,10/7/2015,,,,,-42284,1
"Jittranan Kaewprag, Wareerat Umnajvijit, Jarunya Ngamkham, Mathurose Ponglikitmongkol ",HPV16 Oncoproteins Promote Cervical Cancer Invasiveness by Upregulating Specific Matrix Metalloproteinases,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71611,",10.1371/journal.pone.0071611,PLOS,2013,Thailand,"Faculty of Science, Mahidol University, Bangkok",1,ImageDupl,No others found,,1,,three very similar panels in wound healing assay,1,1,1,8/4/2020,Elisabeth Bik,https://pubpeer.com/publications/299A813A2F260252C457C523D01EB4,10/7/2015,,,,,-42284,1
"Kirk R. Hutchinson, Kevin C. Lord, T. Aaron West, James A. Stewart Jr.",Cardiac Fibroblast-Dependent Extracellular Matrix Accumulation Is Associated with Diastolic Stiffness in Type 2 Diabetes,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e72080",10.1371/journal.pone.0072080,PLOS,2013,USA,"Physiology, University of Arizona, Tucson",1,ImageDupl,No others found,,1,,"duplicated blot, mirrored",1,1,1,8/4/2020,Elisabeth Bik,https://pubpeer.com/publications/455589A6A4EE9C253A6B8817FDD83E,10/7/2015,,,,,-42284,1
"Saba Zuhair Hussein, Kamaruddin Mohd Yusoff, Suzana Makpol, Yasmin Anum Mohd Yusof",Gelam Honey Attenuates Carrageenan-Induced Rat Paw Inflammation via NF-kB Pathway,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e72365",10.1371/journal.pone.0072365,PLOS,2013,Malaysia,"Faculty of Medicine, Universiti Kebangsaan Malaysia, Kuala Lumpur",1,ImageDupl,No others found,,,1,"overlapping microscopy images, duplicated bands within same blot",1,1,1,8/4/2020,Elisabeth Bik,https://pubpeer.com/publications/2E1723AE80CB0851E64E83EFD8AAD1,10/7/2015,,,,,-42284,1
"Juan Ma, Huamin Han, Deruo Liu, Wei li, Hongxiang Feng, Xin Xue, Xiaoran Wu, Ge Niu, Ge Zhang, Yunfeng Zhao, Changzhen Liu, Hua Tao, Bin Gao",HER2 as a Promising Target for Cytotoxicity T Cells in Human Melanoma Therapy,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e73261",10.1371/journal.pone.0073261,PLOS,2013,China,"CAS Key Laboratory of Pathogenic Microbiology, and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing",1,ImageDupl,No others found,,1,,overlapping microscopy images,1,1,1,8/8/2020,Elisabeth Bik,https://pubpeer.com/publications/EC08431AD4A2BB8942A2A5FE2DD2CC,10/7/2015,,,0,,-42284,1
"Vicente Ramírez,  Ana López, Brigitte Mauch-Mani, Ma José Gil, Pablo Vera ",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.1371/journal.ppat.1003445,PLOS,2013,Spain,"Instituto de Biolog ́ıa Molecular y Celular de Plantas, Universidad Polite ́cnica de Valencia-C.S.I.C, Ciudad Polite ́cnica de la Innovacio ́n, Valencia",1,ImageDupl,No others found,,1,,"Duplicated/stretched images of a leaf, duplicated gel panels",1,1,1,7/4/2014,Peer 1,https://pubpeer.com/publications/7EDB8A05CB45019FCADA20EEB044C4,7/4/2014,,,1,11/2/2016,852,1
"Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie",X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1371/journal.ppat.1003576,PLOS,2013,USA,"Nephrology, University of California, San Francisco",1,ImageDupl,No others found,1,,,Duplicated microscopy panels,1,,1,,,,10/2/2015,,,1,5/19/2016,230,1
"MICHIYO YAMAMURA, KAZUMA NOGUCHI, YOSHIRO NAKANO, EMI SEGAWA, YUSUKE ZUSHI, KAZUKI TAKAOKA, HIROMITSU KISHIMOTO, TOMOKO HASHIMOTO-TAMAOKI, MASAHIRO URADE",Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 873-880, 2013",10.3892/ijo.2013.1761,Spandidos,2013,Japan,"Departments of 1Oral and Maxillofacial Surgery, Hyogo College of Medicine, Nishinomiya, Hyogo",1,ImageDupl,No others found,,1,,"Shifted blots, representing different proteins",1,1,1,2/26/2020,Elisabeth Bik,https://pubpeer.com/publications/9B2E1CBA44F92AFC1DF646A93781E9,10/4/2015,,,1,9/22/2016,354,1
"RUBÍ VIEDMA-RODRIGUEZ, LUIS ARTURO BAIZA-GUTMAN, ALEJANDRO GARCÍA-CARRANCÁ, LETICIA MORENO-FIERROS, FABIO SALAMANCA-GÓMEZ, DIEGO ARENAS-ARANDA",Suppression of the death gene BIK is a critical factor for resistance to tamoxifen in MCF-7 breast cancer cells,"INTERNATIONAL JOURNAL OF ONCOLOGY 43: 1777-1786, 2013",10.3892/ijo.2013.2127,Spandidos,2013,Mexico,"Unit of Medical Research in Human Genetics, Medical National Center, Century XXI, Mexican Institute of Social Insurance, Mexico City",1,ImageDupl,No others found,1,,,Duplicated FACS plots,1,,1,AlreadyPosted,AlreadyPosted,https://pubpeer.com/publications/83CC24E54FEEADAC2A7B32EA044875,10/4/2015,,,,,-42281,1
"Sepideh Gholami, Andrew Marano, Nanhai G. Chen, Richard J. Aguilar, Alexa Frentzen, Chun-Hao Chen, Emil Lou, Sho Fujisawa, Clarisse Eveno, Laurence Belin, Pat Zanzonico, Aladar Szalay, Yuman Fong",A novel vaccinia virus with dual oncolytic and anti-angiogenic therapeutic effects against triple-negative breast cancer,Breast Cancer Res Treat (2014) 148:489–499,10.1007/s10549-014-3180-7,Springer,2014,USA,"Department of Surgery, Memorial Sloan-Kettering Cancer Center, New York",1,ImageDupl,No others found,,,1,"Duplicated microscopy, duplicated part of negative blot, stretched",1,1,1,12/18/2021,Elisabeth Bik,https://pubpeer.com/publications/7F5DBD905090140E61E6AFADF649DA,10/4/2015,,,1,3/30/2016,178,1
"Lu Wang, Zibo Zhao, Mark B. Meyer, Sandeep Saha, Menggang Yu, Ailan Guo, Kari B. Wisinski, Wei Huang, Weibo Cai, J. Wesley Pike, Ming Yuan, Paul Ahlquist, Wei Xu",CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,"Cancer Cell 25, 21–36, January 13, 2014",10.1016/j.ccr.2013.12.007,Elsevier/ScienceDirect (10.1016),2014,USA,"McArdle Laboratory for Cancer Research, University of Wisconsin-Madison, Madison, WI",1,ImageDupl,No others found,,,1,"Overlapping microscopy, manipulated images of mice",1,1,1,10/7/2021,"Elisabeth Bik, secondary",https://pubpeer.com/publications/9C269DD9A8D2830BED9C8D931AA685,7/10/2015,,,1,7/11/2016,367,1
"Maria Loza-Correa, Tobias Sahr, Monica Rolando, Craig Daniels, Pierre Petit, Tania Skarina, Laura Gomez Valero, Delphine Dervins-Ravault, Nadine Honoré, Aleksey Savchenko, Carmen Buchrieser",The Legionella pneumophila kai operon is implicated in stress response and confers fitness in competitive environments,"Environmental Microbiology, 16, 359–381, 2013",10.1111/1462-2920.12223,Wiley,2014,France,"Institut Pasteur, Biologie des Bactéries Intracellulaires, Paris,",1,ImageDupl,No others found,1,,,Duplicated pic of agar plate,1,1,1,1/11/2022,Elisabeth Bik,https://pubpeer.com/publications/6012EA689725EC91E6018DE20625CF,10/4/2015,,,,,-42281,1
"César Echeverría, Ignacio Montorfano, Pablo Tapia, Claudia Riedel, Claudio Cabello-Verrugio, Felipe Simon",Endotoxin-induced endothelial fibrosis is dependent on expression of transforming growth factors β1 and β2.,Infection and Immunity p. 3678–3686 September 2014 Volume 82 Number 9,10.1128/IAI.02158-14,ASM,2014,Chile,"Universidad Andres Bello, Santiago, Chile",1,ImageDupl,No others found,,1,,Overlapping microscopy panels,1,1,1,7/28/2022,Elisabeth Bik,https://pubpeer.com/publications/8853FC51A80AAD82DAFD1DF18572C8,3/8/2015,,,1,1/25/2016,323,1
"Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, Qingduan Wang",Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,"BioMed Research International, Volume 2014, Article ID 164391",10.1155/2014/164391,Hindawi,2014,China,"Zhang Zhongjing College of Chinese Medicine, Nanyang Institute of Technology",1,ImageDupl,No others found,,1,,Shifted actin blot panels,1,,1,,,,10/2/2015,1,,,12/5/2016,430,1
"Chih-Zen Chang, Shu-Chuan Wu, Aij-Lie Kwan","Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","BioMed Research International, Volume 2014, Article ID 272101",10.1155/2014/272101,Hindawi,2014,Taiwan,"Surgery, Faculty of Medicine, School of Medicine, Kaohsiung Medical University, Kaohsiung",1,ImageDupl,No others found,,1,,"Two sets of duplicated blot panels, one rotated",1,,1,,,,10/2/2015,,,1,5/10/2016,221,1
"Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia Ávila-González, Rossana Arroyo",𝛼-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism,"BioMed Research International Volume 2014, Article ID 424767",10.1155/2014/424767,Hindawi,2014,Mexico,Centro de Investigacion y de Estudios Avanzados del IPN (CINVESTAV-IPN),1,ImageDupl,No others found,1,,,Multiple cases of reused blot strips,1,,1,,,,10/2/2015,,,1,7/19/2016,291,1
"Zhiqiang Wang, Baofang Jin, Xindong Zhang, Yugui Cui, Dalin Sun, Chao Gao",Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857",10.1155/2014/640857,Hindawi,2014,China,"Andrology, Nanjing University of Chinese Medicine, Jiangsu",1,ImageDupl,No others found,,,1,Possibly manipulated FACS images,1,,1,,,,10/2/2015,,,1,12/16/2015,75,1
"Silvana Lorena Della Penna, Gabriel Cao, Andrea Carranza, Elsa Zotta, Susana Gorzalczany, Carolina Susana Cerrudo, Natalia Lucía Rukavina Mikusic, Alicia Correa, Verónica Trida, Jorge Eduardo Toblli, María Inés Rosón, Belisario Enrique Fernández",Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1𝛼 as Adaptive Response to a High Salt Diet,"BioMed Research International, Volume 2014, Article ID 936978",10.1155/2014/936978,Hindawi,2014,Argentina,University of Buenos Aires,1,ImageDupl,No others found,1,,,"Duplicated microscopy images, and other panels taken from previous paper",1,,1,,,,5/4/2014,,,1,9/1/2014,120,1
"Ya-min Zhang, Hong Xu, Hua Sun, Su-hui Chen, Fu-ming Wang",Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340",10.1155/2014/989340,Hindawi,2014,China,"Department of Traditional Chinese Medicine, Peking Union Medical College Hospital (PUMCH), Beijing",1,ImageDupl,No others found,,1,,overlapping microscopy images,1,,1,,,,10/2/2015,,,1,11/19/2015,48,1
"Shaunak Khandekar, Abhishek Srivastava, Daniel Pletzer, Antje Stahl, Matthias S Ullrich",The conserved upstream region of lscB/C determines expression of different levansucrase genes in plant pathogen Pseudomonas syringae,"BMC Microbiology 2014, 14:79",10.1186/1471-2180-14-79,Springer/ BioMedCentral,2014,Germany,"Molecular Life Sciences Research Center, Jacobs University Bremen, Campus Ring 1, Bremen",1,ImageDupl,No others found,,1,,duplicated images; might be error,1,1,1,8/29/2022,Elisabeth Bik,https://pubpeer.com/publications/433B9B0F25463C97C6E2C2588F3BFF,7/29/2015,,,,,-42214,1
"Jun-Tang Li, Li-Feng Wang, Ya-Li Zhao, Tao Yang, Wei Li, Jing Zhao, Feng Yu, Lei Wang, Yan-Ling Meng, Ning-Ning Liu, Xiao-Shan Zhu, Chun-Fang Gao, Lin-Tao Jia, An-Gang Yang",Nuclear factor of activated T cells 5 maintained by Hotair suppression of miR-568 upregulates S100 calcium binding protein A4 to promote breast cancer metastasis,"Breast Cancer Research 2014, 16:454",10.1186/s13058-014-0454-2,Springer/ BioMedCentral,2014,China,"State Key Laboratory of Cancer Biology, Department of Immunology, Fourth Military Medical University, Xi’an, Shaanxi",1,ImageDupl,No others found,1,,,Multiple cases of overlapping microscopy images,1,,1,6/12/2024,"Elisabeth Bik, secondary",https://pubpeer.com/publications/8115BE53A5B7620B7D85393E499AE5,7/29/2015,1,,,7/25/2018,1092,1
"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1371/journal.pbio.1001847,PLOS,2014,USA,Baylor College of Medicine,1,ImageDupl,No others found,1,,,duplicated microscopy panels,1,1,1,1/2/2019,Elisabeth Bik,https://pubpeer.com/publications/6F53DA74F0E6B2260D6D6A0C3DD212,5/11/2014,,,1,5/28/2015,382,1
"Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee",Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1371/journal.pgen.1004121,PLOS,2014,USA,"Baylor College, Houston",1,ImageDupl,No others found,,,1,duplicated western blot panels,1,1,1,7/28/2022,Elisabeth Bik,https://pubpeer.com/publications/CD9FF9D3C68E4BF22396F148C3103D,4/3/2014,,,1,6/3/2014,61,1
"Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez",Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1371/journal.pgen.1004480,PLOS,2014,Spain,"Bellvitge Biomedical Research Institute (IDIBELL), Barcelona",1,ImageDupl,No others found,1,,,duplicated microscopy panels,1,1,1,7/28/2022,Elisabeth Bik,https://pubpeer.com/publications/9C5B3E251A325EC6F08B6325B55257,7/25/2014,,,1,10/17/2014,84,1
